Name,Duration,Compatibility,Dependencies
Concept,1,Programmer,-
Environmental Design,1,Programmer,-
Character Design,1,Programmer,-
Level Design,1,Programmer,-
Music Aligment,1,Programmer,-
Music Late Motifs,1,Programmer,-
Combat Programming,1,Programmer,-
World Programming,1,Programmer,-
Inventory Programming,1,Programmer,-
Music Testing,1,Programmer,-
Programming Testing,1,Programmer,-
Design Testing,1,Programmer,-
Legal Preparation,1,Programmer,-
Copyright Research,1,Programmer,-
Patent Infrigement,1,Programmer,-
IP Registration,1,Programmer,-
Competition,1,Programmer,-
Advertisements,1,Programmer,-
Influencer Contracts,1,Programmer,-
IRPF Management,1,Programmer,-
